"timestamp","happy1","ID","tutorial","travel","direction","born","sports","aware","morning_drink","breakfast","sleep","siblings","siblings_number","pets","beer","coffee","Pineapple_Pizza","Pinky","OS","hand","energy","shoes","phone","Apartment_Size","rooms","apps","countries","CB","Food_Money","season","Drink_Coffee","height","bother","happy2","tutorial_batch","time","major","morning_drink2"
2025-04-08 12:31:40.052,6,"reinh16","Tutorial 1 (C12.107)",20,"SW",400,1,"awake","water","yes",9,"no",0,3,2,2,"do_not_mind",7,"Microsoft",22,8,7,17.5,80,3,54,15,"yes",160,"Summer","milk",185,7,8,2025,12.15,"UWI","water"
2025-04-08 12:31:54.269,8,"milter71","Tutorial 1 (C12.107)",2,"S",280,3,"energized","hot_chocolate","no",6,"yes",2,4,2,2,"do_not_mind",7,"Microsoft",18,8,6,16,120,4,140,35,"No",170,"Spring","milk",174,4,6,2025,12.15,"UWI","other"
2025-04-08 12:32:13.23,7,"krueg31","Tutorial 1 (C12.107)",2,"SW",168,3,"tired","coffee","yes",7,"yes",1,5,3,4,"Yes",5,"Apple",16,5,7,12,70,4,30,10,"yes",150,"Fall","milk",180,8,7,2025,12.15,"UWI","coffee"
2025-04-08 12:32:16.819,7,"gotts27","Tutorial 1 (C12.107)",80,"NW",85,5,"awake","tea","yes",7,"yes",1,0,2,2,"Yes",8,"Apple",14,6,6,12,50,1,50,25,"No",200,"Summer","milk",180,6,7,2025,12.15,"UWI","tea"
2025-04-08 12:32:21.317,5,"brued19","Tutorial 3 (C14.201)",2,"N",50,3,"awake","coffe","yes",9,"yes",1,0,5,3,"No",7,"Apple",22,5,5,14,70,3,4,12,"No",230,"Summer","milk",187,5,5,2025,12.15,"UWI","coffee"
2025-04-08 12:32:24.95,6,"masur17","Tutorial 1 (C12.107)",2.4,"NW",93,3,"awake","water","no",8,"yes",2,2,1,1,"No",7,"Microsoft",16,7,6,18,32,0,45,7,"No",150,"Fall","Other",162,2,6,2025,12.15,"UWI","water"
2025-04-08 12:33:38.123,5,"hüffe2","Tutorial 1 (C12.107)",3,"NE",250,8,"tired","water","yes",7,"yes",1,5,2,2,"do_not_mind",6.2,"Apple",20.5,6,25,15,33.3,0,72,9,"yes",75,"Spring","Other",158,8,7,2025,12.15,"UWI","water"
2025-04-08 12:33:45.958,9,"kasta24","Tutorial 3 (C14.201)",0.3,"NE",60,8,"energized","kong_strong","yes",8,"yes",1,0,2,2,"No",7.5,"Both",22,5,6,7.5,36,0,209,15,"yes",200,"Summer","milk",187,3,9,2025,12.15,"UWI","other"
2025-04-08 12:33:51.615,7,"mispe6","Tutorial 1 (C12.107)",69,"NW",123,0,"awake","match_latte","yes",7,"yes",2,0,3,5,"do_not_mind",6.6,"Apple",23,7,75,13.8,98,3,55,28,"yes",600,"Spring","sugar_milk",168,10,9,2025,12.15,"UWI","coffee"
2025-04-08 12:34:17.224,6,"kiese20","Tutorial 3 (C14.201)",2,"N",175,1,"awake","water","yes",8,"yes",1,53,1,2,"do_not_mind",6.7,"Microsoft",21,6,3,15,80,4,20,22,"yes",100,"Summer","sugar_milk",170,8,7,2025,12.15,"UWI","water"
2025-04-08 12:34:17.983,7,"amwei11","Tutorial 1 (C12.107)",1,"NE",750,4,"awake","water","yes",8,"yes",7,2,1,1,"do_not_mind",6,"Microsoft",19,9,7,17,16,5,90,2,"yes",190,"Spring","Other",164,6,8,2025,12.15,"UWI","water"
2025-04-08 12:34:30.215,6,"amfuc","Tutorial 1 (C12.107)",2,"NW",140,5,"awake","tea","yes",8,"yes",2,8,2,2,"do_not_mind",6.5,"Microsoft",15.5,4,6,16,13,2,40,10,"yes",180,"Spring","milk",176,4,6,2025,12.15,"UWI","tea"
2025-04-08 12:34:36.513,7,"altep","Tutorial 3 (C14.201)",2.3,"SE",47,2,"tired","coffee","yes",7,"yes",1,1,1,2,"do_not_mind",5.2,"Apple",17,4,7,12,35,0,73,9,"yes",200,"Fall","milk",162,8,7,2025,12.15,"UWI","coffee"
2025-04-08 12:34:42.716,7,"gathe7e","Tutorial 1 (C12.107)",0.4,"NW",402,3,"awake","coffee","yes",8,"yes",1,4,2,2,"do_not_mind",2.1,"Apple",21,6,6,15.49,75,2,166,13,"yes",200,"Spring","milk",185,6,7,2025,12.15,"UWI","coffee"
2025-04-08 12:34:56.689,7,"adeba25","Tutorial 1 (C12.107)",11,"NW",77,2,"awake","water","yes",7,"no",0,0,2,2,"No",6,"Microsoft",12,4,9,15,100,1,169,16,"yes",150,"Spring","Other",169,8,3,2025,12.15,"UWI","water"
2025-04-08 12:35:18.73,6,"kreie1","Tutorial 1 (C12.107)",45,"NE",51,1,"tired","water","yes",9,"yes",1,7,1,1,"No",5.8,"Microsoft",19,5,7,17,150,3,78,7,"yes",250,"Summer","Other",167,5,6,2025,12.15,"UWI","water"
2025-04-08 12:35:34.611,7,"stein15","Tutorial 1 (C12.107)",1.2,"N",300,4,"awake","tea","yes",7,"yes",1,5,4,5,"Yes",6,"Microsoft",20,5,5,13,99,3,65,17,"No",220,"Summer","milk",171,8,6,2025,12.15,"UWI","tea"
2025-04-08 12:35:45.647,9,"frapa28","Tutorial 1 (C12.107)",2,"N",50,4,"awake","water","yes",9,"yes",1,0,2,2,"do_not_mind",6.5,"Apple",20,7,5,15.5,55,2,187,15,"yes",190,"Summer","milk",184,5,9,2025,12.15,"UWI","water"
